date,open,high,low,close,timestamp,volume
2024-11-23 22:00:00+00:00,97883.0,98088.24,97883.0,98088.24,,
2024-11-23 22:30:00+00:00,98078.2,98078.2,97893.34,97983.57,,
2024-11-23 23:00:00+00:00,97866.41,97866.41,97689.61,97795.77,,
2024-11-23 23:30:00+00:00,97741.22,97818.7,97522.28,97522.28,,
2024-11-24 00:00:00+00:00,97540.73,97736.94,97540.73,97679.46,,
2024-11-24 00:30:00+00:00,97769.94,98049.85,97769.94,98049.85,,
2024-11-24 01:00:00+00:00,98089.48,98089.48,97887.23,97986.0,,
2024-11-24 01:30:00+00:00,98040.74,98420.4,98040.74,98177.56,,
2024-11-24 02:00:00+00:00,98230.16,98367.33,98172.11,98367.33,,
2024-11-24 02:30:00+00:00,98292.36,98596.63,98292.36,98491.5,,
2024-11-24 03:00:00+00:00,98648.49,98648.49,98520.55,98520.55,,
2024-11-24 03:30:00+00:00,98497.71,98547.62,98422.65,98478.49,,
2024-11-24 04:00:00+00:00,98402.85,98402.85,98241.73,98241.73,,
2024-11-24 04:30:00+00:00,98293.91,98365.32,98137.05,98263.4,,
2024-11-24 05:00:00+00:00,98232.25,98265.81,98049.67,98265.81,,
2024-11-24 05:30:00+00:00,98300.81,98375.25,98272.7,98350.08,,
2024-11-24 06:00:00+00:00,98266.98,98280.34,98020.58,98280.34,,
2024-11-24 06:30:00+00:00,98395.68,98395.68,98168.5,98246.32,,
2024-11-24 07:00:00+00:00,98349.23,98499.39,98342.41,98485.87,,
2024-11-24 07:30:00+00:00,98473.09,98516.4,98364.99,98408.84,,
2024-11-24 08:00:00+00:00,98306.99,98484.49,98293.39,98395.69,,
2024-11-24 08:30:00+00:00,98458.33,98553.77,98374.43,98374.43,,
2024-11-24 09:00:00+00:00,98369.82,98369.82,98117.4,98117.4,,
2024-11-24 09:30:00+00:00,98207.05,98289.9,98008.58,98008.58,,
2024-11-24 10:00:00+00:00,98009.08,98097.11,98009.08,98089.94,,
2024-11-24 10:30:00+00:00,98047.89,98054.28,97933.54,98004.12,,
2024-11-24 11:00:00+00:00,97977.79,97977.79,97719.55,97865.55,,
2024-11-24 11:30:00+00:00,97510.17,97676.76,97427.59,97676.76,,
2024-11-24 12:00:00+00:00,97572.74,97640.57,97447.54,97447.54,,
2024-11-24 12:30:00+00:00,97389.69,97496.51,97385.88,97385.88,,
2024-11-24 13:00:00+00:00,97244.59,97244.59,96556.3,96939.05,,
2024-11-24 13:30:00+00:00,96915.29,97536.82,96915.29,97536.82,,
2024-11-24 14:00:00+00:00,97612.88,97619.95,97333.4,97458.7,,
2024-11-24 14:30:00+00:00,97256.13,97256.13,96756.42,96756.42,,
2024-11-24 15:00:00+00:00,96672.91,97137.96,96672.91,97137.96,,
2024-11-24 15:30:00+00:00,97131.08,97131.08,96835.4,96865.49,,
2024-11-24 16:00:00+00:00,96679.64,96679.64,96137.48,96137.48,,
2024-11-24 16:30:00+00:00,95948.05,96302.84,95948.05,96263.85,,
2024-11-24 17:00:00+00:00,96541.08,96658.35,96379.66,96641.42,,
2024-11-24 17:30:00+00:00,96429.91,96429.91,95933.68,95933.68,,
2024-11-24 18:00:00+00:00,95900.04,96087.49,95802.95,96087.49,,
2024-11-24 18:30:00+00:00,95903.66,96247.67,95903.66,96240.56,,
2024-11-24 19:00:00+00:00,96251.88,96610.71,96251.88,96570.2,,
2024-11-24 19:30:00+00:00,96595.81,96595.81,96214.76,96224.86,,
2024-11-24 20:00:00+00:00,96276.94,96421.91,96276.94,96401.58,,
2024-11-24 20:30:00+00:00,96367.24,96465.74,96341.41,96465.74,,
2024-11-24 21:00:00+00:00,96775.35,96826.36,96770.49,96820.63,,
2024-11-24 21:30:00+00:00,96877.19,96877.19,96657.11,96706.04,,
2024-11-24 16:30:00+00:00,95948.05,96302.84,95948.05,96263.85,,
2024-11-24 17:00:00+00:00,96541.08,96658.35,96379.66,96641.42,,
2024-11-24 17:30:00+00:00,96429.91,96429.91,95933.68,95933.68,,
2024-11-24 18:00:00+00:00,95900.04,96087.49,95802.95,96087.49,,
2024-11-24 18:30:00+00:00,95903.66,96247.67,95903.66,96240.56,,
2024-11-24 19:00:00+00:00,96251.88,96610.71,96251.88,96570.2,,
2024-11-24 19:30:00+00:00,96595.81,96595.81,96214.76,96224.86,,
2024-11-24 20:00:00+00:00,96276.94,96421.91,96276.94,96401.58,,
2024-11-24 20:30:00+00:00,96367.24,96465.74,96341.41,96465.74,,
2024-11-24 21:00:00+00:00,96775.35,96826.36,96770.49,96820.63,,
2024-11-24 21:30:00+00:00,96877.19,96877.19,96657.11,96706.04,,
2024-11-24 22:00:00+00:00,96788.06,96976.79,96788.06,96976.79,,
2024-11-24 22:30:00+00:00,97062.35,97866.96,97062.35,97866.96,,
2024-11-24 23:00:00+00:00,97622.48,97971.89,97498.94,97971.89,,
2024-11-24 23:30:00+00:00,98116.47,98362.05,98116.47,98160.2,,
2024-11-25 00:00:00+00:00,98052.65,98052.65,97684.31,98015.94,,
2024-11-25 00:30:00+00:00,98025.78,98025.78,97782.56,97840.71,,
2024-11-25 01:00:00+00:00,97758.42,98115.97,97650.14,98115.97,,
2024-11-25 01:30:00+00:00,97957.31,97957.31,97178.68,97178.68,,
2024-11-25 02:00:00+00:00,97203.57,97361.61,97127.51,97361.61,,
2024-11-25 03:00:00+00:00,97638.08,97743.81,97564.83,97564.83,,
2024-11-25 03:30:00+00:00,97479.85,97853.89,97479.85,97818.43,,
2024-11-25 04:00:00+00:00,97718.29,97934.27,97685.95,97884.72,,
2024-11-25 04:30:00+00:00,97960.57,98056.65,97823.49,97823.49,,
2024-11-25 05:00:00+00:00,97767.86,97882.44,97688.95,97804.0,,
2024-11-25 05:30:00+00:00,97936.55,98312.3,97936.55,98312.3,,
2024-11-25 06:00:00+00:00,98256.2,98327.93,98133.11,98170.02,,
2024-11-25 06:30:00+00:00,98275.65,98456.86,98275.65,98426.05,,
2024-11-25 07:00:00+00:00,98338.8,98351.25,98166.04,98190.61,,
2024-11-25 07:30:00+00:00,98186.08,98338.53,98101.06,98101.06,,
2024-11-25 08:00:00+00:00,98191.9,98191.9,97924.3,98157.76,,
2024-11-25 08:30:00+00:00,98148.05,98328.77,98094.83,98320.71,,
2024-11-25 09:00:00+00:00,98355.8,98356.21,98219.43,98356.21,,
2024-11-25 09:30:00+00:00,98327.5,98882.48,98327.5,98882.48,,
2024-11-25 10:00:00+00:00,98783.27,98783.27,98585.23,98585.23,,
2024-11-25 10:30:00+00:00,98567.62,98721.52,98293.46,98293.46,,
2024-11-25 11:00:00+00:00,98423.96,98571.56,98326.91,98439.5,,
2024-11-25 11:30:00+00:00,98426.64,98598.14,98406.9,98598.14,,
2024-11-25 12:00:00+00:00,98569.08,98569.08,98134.24,98259.31,,
2024-11-25 12:30:00+00:00,98295.49,98328.58,98056.51,98056.51,,
2024-11-25 13:00:00+00:00,98098.01,98098.01,97975.13,98058.25,,
2024-11-25 13:30:00+00:00,97991.05,97991.05,97317.14,97465.12,,
2024-11-25 14:00:00+00:00,97564.85,97866.03,97549.64,97764.11,,
2024-11-25 14:30:00+00:00,97533.18,97609.68,97255.08,97255.08,,
2024-11-25 15:00:00+00:00,97276.29,97276.29,95986.87,95986.87,,
2024-11-25 15:30:00+00:00,95642.73,95642.73,94824.12,95469.22,,
2024-11-25 16:00:00+00:00,95986.84,96412.92,95605.65,96412.92,,
2024-11-24 16:30:00+00:00,95948.05,96302.84,95948.05,96263.85,,
2024-11-24 17:00:00+00:00,96541.08,96658.35,96379.66,96641.42,,
